GEO_ID,Total Population,White Population,Black Population,American Indian Population,Asian Population,Native Hawaiian and Other Pacific Islander Population,Hispanic or Latino Population,Some other race,Year
371190041021,976,30,777,0,0,0,130,39,2020
371190041022,1715,1094,322,0,183,0,81,35,2020
371190042001,492,25,467,0,0,0,0,0,2020
371190042002,973,154,770,0,0,0,1,48,2020
371190042003,333,20,268,0,1,0,21,23,2020
371190042004,1387,307,896,0,0,0,91,93,2020
371190043021,930,209,652,0,0,0,25,44,2020
371190043022,2336,154,1865,0,253,0,41,23,2020
371190043023,1266,9,1102,0,0,0,77,78,2020
371190043031,2388,481,1311,0,200,0,356,40,2020
371190043041,3272,195,2309,0,330,0,406,32,2020
371190043042,972,33,660,0,0,0,279,0,2020
371190043061,1268,120,940,0,0,0,76,132,2020
371190043062,3155,0,2020,0,0,0,1012,123,2020
371190043071,5039,904,3037,0,378,0,611,109,2020
371190044001,826,213,364,0,48,0,201,0,2020
371190044002,1165,25,1131,0,0,0,9,0,2020
371190044003,1475,231,867,0,267,0,110,0,2020
371190045001,1080,7,1053,0,0,0,0,20,2020
371190045002,1248,14,980,151,40,0,24,39,2020
371190045003,833,181,545,0,0,0,13,94,2020
371190046001,1374,39,1318,0,0,0,10,7,2020
371190046002,1071,0,1034,11,0,0,10,16,2020
371190047001,1876,569,1079,0,47,10,118,53,2020
371190048001,1328,62,963,0,0,0,294,9,2020
371190048002,1232,0,1218,0,0,0,14,0,2020
371190048003,877,53,799,0,0,0,19,6,2020
371190049001,790,44,742,0,0,0,4,0,2020
371190050001,1115,28,1074,0,7,0,0,6,2020
371190050002,1271,335,798,3,61,0,46,28,2020
371190051001,1038,77,771,4,65,0,77,44,2020
371190051002,1350,174,1156,0,0,0,20,0,2020
371190052001,233,8,207,0,0,0,18,0,2020
371190052002,501,9,446,0,0,0,9,37,2020
371190052003,908,137,744,0,0,0,22,5,2020
371190053011,3568,366,1791,0,30,0,1381,0,2020
371190053012,683,109,213,14,24,0,323,0,2020
371190053051,569,17,457,0,0,0,87,8,2020
371190053052,1857,0,1158,0,0,0,688,11,2020
371190053053,2398,111,1795,0,0,0,422,70,2020
371190053061,557,62,338,0,0,0,148,9,2020
371190053062,1697,261,673,26,0,0,737,0,2020
371190053071,2354,91,1331,0,82,0,755,95,2020
371190053072,1692,167,848,0,43,0,605,29,2020
371190053081,1797,183,662,0,71,6,868,7,2020
371190053082,709,4,308,0,0,0,392,5,2020
371190054031,4360,454,2359,0,207,0,838,502,2020
371190054032,1252,239,812,35,0,0,166,0,2020
371190054041,2897,244,2087,0,32,0,526,8,2020
371190054042,1878,398,1015,0,81,0,339,45,2020
371190054051,1796,155,1558,0,0,0,34,49,2020
371190054052,1254,109,731,0,44,0,334,36,2020
371190054061,1944,6,1908,0,0,0,0,30,2020
371190054062,1430,32,1398,0,0,0,0,0,2020
371190055081,2110,1079,788,0,30,0,166,47,2020
371190055082,2154,1075,866,0,38,0,69,106,2020
371190055101,2454,224,681,0,94,0,1455,0,2020
371190055102,2948,319,2389,0,0,0,203,37,2020
371190055103,1279,224,750,0,46,0,218,41,2020
371190055111,1069,100,837,0,0,0,115,17,2020
371190055112,1497,440,885,0,110,0,49,13,2020
371190055113,1244,391,784,0,13,0,42,14,2020
371190055121,1130,86,993,0,19,0,32,0,2020
371190055122,1640,263,950,10,38,0,379,0,2020
371190055123,2564,308,1659,41,59,0,421,76,2020
371190055131,1997,333,1110,18,295,0,169,72,2020
371190055132,1106,651,340,0,38,0,77,0,2020
371190055133,1199,470,432,0,72,0,61,164,2020
371190055151,2335,1434,531,0,166,0,58,146,2020
371190055161,2124,978,984,0,22,0,97,43,2020
371190055171,911,748,97,0,0,0,66,0,2020
371190055172,1121,448,534,0,8,0,109,22,2020
371190055173,2056,932,778,0,75,0,230,41,2020
371190055191,2643,1657,560,0,122,0,228,76,2020
371190055192,674,41,230,0,351,0,44,8,2020
371190055193,2133,711,1069,25,77,4,247,0,2020
371190055201,594,192,114,0,0,0,273,15,2020
371190055202,2319,427,1225,0,557,0,72,38,2020
371190055203,2180,688,766,0,507,0,95,124,2020
371190055221,1998,984,765,0,220,0,29,0,2020
371190055222,1803,709,741,0,113,0,220,20,2020
371190055223,1022,350,404,0,126,0,0,142,2020
371190055251,1883,421,680,0,80,0,638,64,2020
371190055252,2271,218,1533,0,286,0,70,164,2020
371190055261,1868,645,730,0,211,0,255,27,2020
371190055262,554,55,459,0,0,0,20,20,2020
371190055271,2875,1299,1071,8,57,0,440,0,2020
371190055281,1635,689,821,0,21,0,30,74,2020
371190055282,2433,936,1375,0,57,0,32,33,2020
371190055291,1555,333,1038,0,41,0,137,6,2020
371190055301,2810,861,1119,0,722,0,44,64,2020
371190055302,396,155,241,0,0,0,0,0,2020
371190055311,1546,303,1071,0,108,0,0,64,2020
371190055312,4664,3361,1014,0,0,22,116,151,2020
371190055321,1273,707,214,0,352,0,0,0,2020
371190055322,2143,575,673,0,830,0,65,0,2020
371190055331,954,373,491,0,0,0,80,10,2020
371190055341,694,547,45,0,35,0,40,27,2020
371190055342,2559,675,1007,43,654,0,27,153,2020
371190055343,2117,706,917,0,288,0,53,153,2020
371190055351,1112,196,161,12,629,0,40,74,2020
371190055352,2886,606,1745,37,86,0,271,141,2020
371190055361,767,72,0,0,599,0,0,96,2020
371190055362,1774,174,1546,0,14,0,0,40,2020
371190055363,1721,780,852,0,49,0,0,40,2020
371190055364,2025,956,591,0,116,0,362,0,2020
371190056041,2296,925,1047,0,137,0,62,125,2020
371190056042,2239,1351,555,0,126,5,118,84,2020
371190056043,1470,953,281,0,75,0,74,87,2020
371190056091,1989,617,1078,0,99,0,88,107,2020
371190056092,1478,442,276,0,679,0,11,70,2020
371190056101,865,322,456,61,26,0,0,0,2020
371190056102,1989,667,1002,0,69,0,251,0,2020
371190056111,755,182,206,0,62,0,178,127,2020
371190056112,2869,463,2044,0,136,0,137,89,2020
371190056121,2747,668,1173,0,60,0,627,219,2020
371190056122,2875,831,1261,0,225,0,456,102,2020
371190056131,3515,421,2107,0,187,0,686,114,2020
371190056151,2085,444,1340,0,102,0,184,15,2020
371190056161,2128,509,991,0,52,0,546,30,2020
371190056171,2080,575,1049,0,20,0,340,96,2020
371190056172,55,55,0,0,0,0,0,0,2020
371190056181,1836,1017,590,0,8,0,156,65,2020
