"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1500000US371190014002","Block Group 2; Census Tract 14; Mecklenburg County; North Carolina","1994","490","1855","430","1372","356","270","141","0","14","29","36","0","14","18","26","166","172","0","14","166","172","139","113","7","11","112","112","0","14","0","14","0","14","11","14","9","9","4","7","5","7",
"1500000US371190015041","Block Group 1; Census Tract 15.04; Mecklenburg County; North Carolina","3224","1484","2494","1386","250","177","2142","1390","0","14","0","14","0","14","0","14","102","138","0","14","102","138","730","469","353","337","36","57","0","14","0","14","0","14","341","309","0","14","0","14","0","14",
"1500000US371190015042","Block Group 2; Census Tract 15.04; Mecklenburg County; North Carolina","2263","843","2061","827","653","396","682","371","0","14","675","776","0","14","0","14","51","78","17","28","34","52","202","261","10","22","0","14","0","14","0","14","0","14","192","260","0","14","0","14","0","14",
"1500000US371190015043","Block Group 3; Census Tract 15.04; Mecklenburg County; North Carolina","1262","562","1142","564","199","254","806","519","0","14","46","72","0","14","0","14","91","129","0","14","91","129","120","189","0","14","0","14","0","14","0","14","0","14","120","189","0","14","0","14","0","14",
"1500000US371190015051","Block Group 1; Census Tract 15.05; Mecklenburg County; North Carolina","1042","394","837","349","493","365","315","155","0","14","28","40","0","14","0","14","1","3","0","14","1","3","205","209","0","14","0","14","0","14","0","14","0","14","205","209","0","14","0","14","0","14",
"1500000US371190015052","Block Group 2; Census Tract 15.05; Mecklenburg County; North Carolina","3371","975","1172","281","589","151","484","233","0","14","84","70","0","14","0","14","15","24","0","14","15","24","2199","994","7","13","0","14","0","14","0","14","0","14","1335","647","857","833","857","833","0","14",
"1500000US371190015071","Block Group 1; Census Tract 15.07; Mecklenburg County; North Carolina","2136","634","319","242","117","164","190","156","0","14","0","14","0","14","12","19","0","14","0","14","0","14","1817","602","339","363","0","14","36","60","0","14","0","14","1165","486","277","418","258","417","19","31",
"1500000US371190015072","Block Group 2; Census Tract 15.07; Mecklenburg County; North Carolina","935","389","761","353","170","203","591","302","0","14","0","14","0","14","0","14","0","14","0","14","0","14","174","145","22","51","13","24","0","14","0","14","0","14","138","135","1","3","1","3","0","14",
"1500000US371190015073","Block Group 3; Census Tract 15.07; Mecklenburg County; North Carolina","2138","621","1864","677","75","76","1766","681","0","14","0","14","0","14","21","28","2","5","0","14","2","5","274","210","18","36","0","14","80","115","0","14","0","14","158","172","18","29","18","29","0","14",
"1500000US371190015081","Block Group 1; Census Tract 15.08; Mecklenburg County; North Carolina","2570","775","2180","719","522","208","1541","743","17","25","46","80","0","14","0","14","54","86","0","14","54","86","390","389","286","350","35","60","0","14","0","14","0","14","51","116","18","26","18","26","0","14",
"1500000US371190015082","Block Group 2; Census Tract 15.08; Mecklenburg County; North Carolina","2855","569","2264","460","857","326","1286","488","0","14","66","119","0","14","0","14","55","87","0","14","55","87","591","308","219","286","0","14","0","14","0","14","0","14","322","326","50","80","50","80","0","14",
"1500000US371190015083","Block Group 3; Census Tract 15.08; Mecklenburg County; North Carolina","802","353","407","268","0","14","407","268","0","14","0","14","0","14","0","14","0","14","0","14","0","14","395","312","172","265","0","14","0","14","67","107","0","14","124","108","32","52","32","52","0","14",
"1500000US371190015091","Block Group 1; Census Tract 15.09; Mecklenburg County; North Carolina","1232","296","1114","301","57","47","955","275","0","14","15","23","0","14","0","14","87","164","0","14","87","164","118","58","0","14","0","14","0","14","0","14","0","14","84","59","34","55","34","55","0","14",
"1500000US371190015092","Block Group 2; Census Tract 15.09; Mecklenburg County; North Carolina","2345","1091","1543","1050","73","52","1301","1044","0","14","145","154","0","14","0","14","24","36","0","14","24","36","802","368","94","129","111","124","0","14","0","14","0","14","419","287","178","196","167","196","11","16",
